date	movement_percent	open	high	low	close	volume	ticker	sentiment	label
2014-01-02	-0.014064	0.064523	0.067109	0.057512	-1.048751	58671200.0	AAPL	-0.05475869323268081	0
2014-01-02	-0.018359	0.172651	0.172651	0.159986	-0.811764	828700.0	CHL	0.0	0
2014-01-02	-0.002849	0.185	0.188621	0.181861	-0.118003	9270200.0	VZ	0.0	0
2014-01-02	-0.01168	0.11687	0.122916	0.103772	-0.231857	44377000.0	CSCO	0.6563524007797241	0
2014-01-02	0.001098	0.003294	0.01043	-0.008417	0.059997	43195500.0	FB	0.0	1
2014-01-02	-0.002056	2.5e-05	0.001429	-0.011961	-0.820008	2137800.0	AMZN	-0.4079352617263794	0
2014-01-02	-0.016629	0.127029	0.127677	0.108883	-0.256578	6029100.0	TSM	0.0	0
2014-01-02	-0.006549	0.11445	0.11618	0.101049	-0.151484	31833300.0	INTC	0.0	0
2014-01-02	-0.005973	0.216804	0.218531	0.206791	-0.172974	20229900.0	T	0.0	0
2014-01-02	-0.006683	0.101214	0.102688	0.093843	-0.226658	30632200.0	MSFT	-0.23891159892082214	0
2014-01-02	-0.010978	0.041614	0.048507	0.035273	-0.398162	18162100.0	ORCL	0.0	0
2014-01-02	-0.006772	-0.004685	-0.002641	-0.011109	-3.780823	3656400.0	GOOG	0.0	0
2014-01-03	-0.011837	0.194439	0.194439	0.167562	-0.488854	12022200.0	VZ	0.0	0
2014-01-03	-0.002651	0.049552	0.055406	0.047043	-0.095105	11693900.0	ORCL	0.0	0
2014-01-03	-0.002742	0.005666	0.017182	-0.00329	-0.149998	38246200.0	FB	-0.3900030329823494	0
2014-01-03	-0.000909	0.125992	0.127521	0.112739	-0.017832	36328200.0	CSCO	0.0	0
2014-01-03	-0.000388	0.125278	0.127018	0.113964	-0.008911	27796700.0	INTC	0.0	0
2014-01-03	-0.006728	0.10417	0.104764	0.086361	-0.226658	31134800.0	MSFT	0.0	0
2014-01-03	-0.011662	0.125656	0.130929	0.115112	-0.176947	11362700.0	TSM	0.0	0
2014-01-03	-0.007295	0.001689	0.003423	-0.007358	-4.04486	3345800.0	GOOG	0.12289393799645561	0
2014-01-03	-0.004292	0.220989	0.221336	0.202231	-0.12355	24618300.0	T	0.0	0
2014-01-03	-0.003845	0.000804	0.01191	-0.004397	-1.529999	2210200.0	AMZN	0.4301287829875946	0
2014-01-03	-0.021966	0.074229	0.075861	0.050077	-1.614975	98116900.0	AAPL	-0.2014820859545753	0
2014-01-03	-0.013248	0.176382	0.178225	0.163941	-0.575005	985000.0	CHL	0.0	0
2014-01-06	-0.003949	0.182603	0.184003	0.174897	-0.16912	705300.0	CHL	0.0	0
2014-01-06	0.001365	0.120384	0.134159	0.118853	0.026754	34150300.0	CSCO	0.0	0
2014-01-06	-0.007088	-0.001488	0.001413	-0.02023	-2.809997	3170600.0	AMZN	0.0	0
2014-01-06	0.048387	-0.002566	0.049487	-0.009348	2.64	68852600.0	FB	0.10032518208026886	1
2014-01-06	0.005576	0.195025	0.202376	0.181058	0.227577	16054800.0	VZ	0.0	1
2014-01-06	-0.00295	0.132937	0.134937	0.124268	-0.044238	10370200.0	TSM	0.0	0
2014-01-06	0.004598	0.221368	0.222763	0.214042	0.131786	20791500.0	T	0.0	0
2014-01-06	-0.012413	0.121796	0.122667	0.107866	-0.28515	28682300.0	INTC	0.0	0
2014-01-06	-0.003987	0.052062	0.056534	0.045913	-0.142646	15329400.0	ORCL	0.0	0
2014-01-06	0.011149	0.007249	0.012543	0.001303	6.137024	3551800.0	GOOG	0.04338179032007853	1
2014-01-06	-0.021133	0.10119	0.102385	0.079076	-0.707176	43603700.0	MSFT	-0.6079455614089966	0
2014-01-06	0.005453	0.06774	0.086315	0.060091	0.392089	103152700.0	AAPL	0.02212037470029748	1
